,Program Name,Program Type,Avg Days Between Inspections
19254,ROYAL DAYCARE CENTER LTD.,DAY CARE PROGRAM,45.0945945945946
19255,ALPHABET SOUP PRESCHOOL LTD.,PRE-SCHOOL PROGRAM,118.5
19256,BRIGHTPATH WOODLANDS,DAY CARE PROGRAM,37.741573033707866
19257,GLOBAL KIDS ACADEMY,DAY CARE PROGRAM,39.81818181818182
19258,DALHOUSIE OUT OF SCHOOL AND PLAYSCHOOL,PRE-SCHOOL PROGRAM,49.9
19259,KIDZ CHOICE PRESCHOOL,PRE-SCHOOL PROGRAM,114.0
19260,CALGARY CHILD'S PLAY BEFORE & AFTER SCHOOL CARE @ ST. LUKES,OUT OF SCHOOL CARE PROGRAM,37.75
19261,ADVENTURERS SCHOOL AGE CARE LTD: MOTHER MARY GREENE,OUT OF SCHOOL CARE PROGRAM,79.90697674418605
19262,MICHAEL'S MONTESSORI CHILDREN'S CENTRE,OUT OF SCHOOL CARE PROGRAM,89.97368421052632
19263,KINDERHOUSE OF SPRINGBANK HILL,DAY CARE PROGRAM,85.27586206896552
19264,SHAWNESSY YMCA CHILD DEVELOPMENT CENTRE,DAY CARE PROGRAM,75.6304347826087
19265,MAPLE ROOTS OOSC GUARDIAN ANGEL,OUT OF SCHOOL CARE PROGRAM,73.73076923076923
19266,FOOTHILLS CREATIVE BEGINNINGS PRESCHOOL,PRE-SCHOOL PROGRAM,128.83333333333334
19267,SUMMIT KIDS - RIDEAU,OUT OF SCHOOL CARE PROGRAM,120.78571428571429
19268,DISCOVERY CHILD CARE INC.,FACILITY-BASED PROGRAM,56.12698412698413
19269,ASPEN HILL MONTESSORI,PRE-SCHOOL PROGRAM,40.63953488372093
19270,KIDS & COMPANY - BOW TRAIL,OUT OF SCHOOL CARE PROGRAM,31.51923076923077
19271,BRIGHTPATH DEER RIDGE,OUT OF SCHOOL CARE PROGRAM,18.956756756756757
19272,KIDS' STOP CHILDREN'S CENTRE -  AUBURN BAY,DAY CARE PROGRAM,19.666666666666668
19273,HAPPY TIME CHILD CARE CENTRE,DAY CARE PROGRAM,32.357798165137616
19274,CALGARY MONTESSORI SCHOOL #3,DAY CARE PROGRAM,92.27777777777777
19275,CALGARY FRENCH & INTERNATIONAL SCHOOL CHILDCARE,DAY CARE PROGRAM,49.710144927536234
19276,FLEDGLINGS OUT OF SCHOOL CARE,OUT OF SCHOOL CARE PROGRAM,14.333333333333334
19277,CLEVER DAYCARE 22,DAY CARE PROGRAM,28.123456790123456
