CLASS,CLASS_CODE,COMM_CODE,NAME,SECTOR,SRG,COMM_STRUCTURE,longitude,latitude,POINT
Residual Sub Area,4,12L,12L,SOUTHEAST,FUTURE,UNDEVELOPED,-113.8715190162749,50.91435050102264,POINT (-113.8715190162749 50.91435050102264)
Residential,1,BYV,BAYVIEW,SOUTH,ESTABLISHED,1960s/1970s,-114.11397117531251,50.974635498425755,POINT (-114.11397117531251 50.974635498425755)
Residual Sub Area,4,13G,13G,SOUTH,FUTURE,UNDEVELOPED,-114.1434664808252,50.8958221222063,POINT (-114.1434664808252 50.8958221222063)
Residential,1,CED,CEDARBRAE,SOUTH,ESTABLISHED,1960s/1970s,-114.12962166312342,50.95820371188425,POINT (-114.12962166312342 50.95820371188425)
Residential,1,CAR,CARRINGTON,NORTH,DEVELOPING,BUILDING OUT,-114.08173275077937,51.17887232376017,POINT (-114.08173275077937 51.17887232376017)
Industrial,2,DBC,DEERFOOT BUSINESS CENTRE,NORTHEAST,N/A,EMPLOYMENT,-114.03832734398725,51.11210137731565,POINT (-114.03832734398725 51.11210137731565)
Residential,1,MIS,MISSION,CENTRE,ESTABLISHED,INNER CITY,-114.0663117446791,51.03108900976322,POINT (-114.0663117446791 51.03108900976322)
Residential,1,SHW,SHERWOOD,NORTH,COMPLETE,2010s,-114.15314133641519,51.16025346348022,POINT (-114.15314133641519 51.16025346348022)
Residential,1,LEG,LEGACY,SOUTH,DEVELOPING,BUILDING OUT,-114.00598080426016,50.85760305034881,POINT (-114.00598080426016 50.85760305034881)
Residential,1,LKV,LAKEVIEW,WEST,ESTABLISHED,1960s/1970s,-114.12962199889532,50.99958028772753,POINT (-114.12962199889532 50.99958028772753)
Residential,1,BRD,BRIDGELAND/RIVERSIDE,CENTRE,ESTABLISHED,INNER CITY,-114.03508176575197,51.0505499509508,POINT (-114.03508176575197 51.0505499509508)
Residential,1,COL,COLLINGWOOD,NORTHWEST,ESTABLISHED,1950s,-114.1024869717022,51.084441848297054,POINT (-114.1024869717022 51.084441848297054)
Residual Sub Area,4,09O,09O,EAST,FUTURE,UNDEVELOPED,-113.87710691707915,51.052572095262136,POINT (-113.87710691707915 51.052572095262136)
Industrial,2,SKE,SKYLINE EAST,NORTHEAST,N/A,EMPLOYMENT,-114.03892932026083,51.100152626993555,POINT (-114.03892932026083 51.100152626993555)
Residual Sub Area,4,13A,13A,SOUTH,FUTURE,UNDEVELOPED,-114.19818036467912,50.9141367805475,POINT (-114.19818036467912 50.9141367805475)
Industrial,2,ESH,EAST SHEPARD INDUSTRIAL,SOUTHEAST,N/A,EMPLOYMENT,-113.95096985247397,50.951317075197345,POINT (-113.95096985247397 50.951317075197345)
Residual Sub Area,4,09P,09P,EAST,FUTURE,UNDEVELOPED,-113.88876475590003,51.02683776876491,POINT (-113.88876475590003 51.02683776876491)
Residential,1,AUB,AUBURN BAY,SOUTHEAST,COMPLETE,2000s,-113.95848341947219,50.89259772534219,POINT (-113.95848341947219 50.89259772534219)
Residential,1,WIL,WILLOW PARK,SOUTH,ESTABLISHED,1960s/1970s,-114.0561971791396,50.956627351011996,POINT (-114.0561971791396 50.956627351011996)
Residential,1,GAG,GARRISON GREEN,WEST,ESTABLISHED,BUILDING OUT,-114.12452097666666,51.003053111864105,POINT (-114.12452097666666 51.003053111864105)
Residential,1,WWO,WOLF WILLOW,SOUTH,DEVELOPING,BUILDING OUT,-114.00862949471409,50.870710269861725,POINT (-114.00862949471409 50.870710269861725)
Residual Sub Area,4,01H,01H,WEST,FUTURE,OTHER,-114.28068246060266,51.094589450429176,POINT (-114.28068246060266 51.094589450429176)
Industrial,2,BUR,BURNS INDUSTRIAL,CENTRE,N/A,EMPLOYMENT,-114.03604278598172,51.00010437755526,POINT (-114.03604278598172 51.00010437755526)
Residential,1,KIN,KINGSLAND,SOUTH,ESTABLISHED,1950s,-114.07734663672602,50.986976758307435,POINT (-114.07734663672602 50.986976758307435)
Residential,1,DIA,DIAMOND COVE,SOUTH,ESTABLISHED,1980s/1990s,-114.02265608656265,50.946212326140284,POINT (-114.02265608656265 50.946212326140284)
Industrial,2,MCI,MCCALL,NORTHEAST,N/A,EMPLOYMENT,-114.02708622213684,51.08899751407806,POINT (-114.02708622213684 51.08899751407806)
Industrial,2,VAF,VALLEYFIELD,EAST,N/A,EMPLOYMENT,-113.99834317733075,51.01140923809311,POINT (-113.99834317733075 51.01140923809311)
Residential,1,GBK,GLENBROOK,WEST,ESTABLISHED,1950s,-114.15269481311158,51.024207976352315,POINT (-114.15269481311158 51.024207976352315)
Residential,1,SHG,SHAGANAPPI,CENTRE,ESTABLISHED,1950s,-114.12666759976297,51.045218577401315,POINT (-114.12666759976297 51.045218577401315)
Residential,1,MON,MONTGOMERY,NORTHWEST,ESTABLISHED,1950s,-114.1622361301658,51.071071659826664,POINT (-114.1622361301658 51.071071659826664)
Residential,1,SIG,SIGNAL HILL,WEST,ESTABLISHED,1980s/1990s,-114.17990790188557,51.02326166957965,POINT (-114.17990790188557 51.02326166957965)
Residential,1,DNW,DOWNTOWN WEST END,CENTRE,ESTABLISHED,CENTRE CITY,-114.08778757397326,51.047966075172944,POINT (-114.08778757397326 51.047966075172944)
Residual Sub Area,4,13C,13C,SOUTH,FUTURE,UNDEVELOPED,-114.17499058641515,50.91411355002295,POINT (-114.17499058641515 50.91411355002295)
Residential,1,RVW,RANGEVIEW,SOUTHEAST,DEVELOPING,2000s,-113.92372691639144,50.87402037399249,POINT (-113.92372691639144 50.87402037399249)
Residential,1,CAM,CAMBRIAN HEIGHTS,CENTRE,ESTABLISHED,1950s,-114.08708720244064,51.08458643515072,POINT (-114.08708720244064 51.08458643515072)
Residential,1,NHV,NORTH HAVEN,NORTH,ESTABLISHED,1960s/1970s,-114.08794102402483,51.09700466898228,POINT (-114.08794102402483 51.09700466898228)
Residential,1,RMT,ROSEMONT,CENTRE,ESTABLISHED,1950s,-114.0897692278341,51.07757416015213,POINT (-114.0897692278341 51.07757416015213)
Residential,1,QLD,QUEENSLAND,SOUTH,ESTABLISHED,1960s/1970s,-114.0230192396912,50.938514500593215,POINT (-114.0230192396912 50.938514500593215)
Major Park,3,NPK,NOSE HILL PARK,NORTHWEST,N/A,PARKS,-114.11158653321927,51.112488687563044,POINT (-114.11158653321927 51.112488687563044)
